ord1,﻿aa13,Rose,1,New,100,55.00,NA,20230826-110406.668
ord2,aa14,Rose,1,New,100,65.00,NA,20230826-110406.671
ord3,aa15,Rose,2,PFill,100,65.00,NA,20230826-110406.672
ord2,aa14,Rose,1,Fill,100,65.00,NA,20230826-110406.672
ord3,aa15,Rose,2,PFill,100,55.00,NA,20230826-110406.672
ord1,﻿aa13,Rose,1,Fill,100,55.00,NA,20230826-110406.673
ord4,aa16,Rose,1,Fill,100,1.00,NA,20230826-110406.673
ord3,aa15,Rose,2,PFill,100,1.00,NA,20230826-110406.674
ord5,aa17,Rose,1,Fill,100,1.00,NA,20230826-110406.674
ord3,aa15,Rose,2,Fill,100,1.00,NA,20230826-110406.674
ord6,aa18,lavanda,1,Rejected,100,45.00,Invalid Flower Name,20230826-110406.675
ord7,aa19,Rose,2,New,200,65.00,NA,20230826-110406.675
ord8,aa20,Rose,2,New,400,45.00,NA,20230826-110406.676
ord9,aa21,Rose,1,Fill,100,45.00,NA,20230826-110406.676
ord8,aa20,Rose,2,PFill,100,45.00,NA,20230826-110406.676
ord10,aa22,Rose,1,Fill,250,45.00,NA,20230826-110406.677
ord8,aa20,Rose,2,PFill,250,45.00,NA,20230826-110406.677
ord11,aa23,Rose,1,New,100,22.00,NA,20230826-110406.678
ord12,aa24,Rose,1,New,300,34.00,NA,20230826-110406.678
ord13,aa25,Rose,1,PFill,50,45.00,NA,20230826-110406.678
ord8,aa20,Rose,2,Fill,50,45.00,NA,20230826-110406.679
ord14,aa26,Rose,1,New,300,53.00,NA,20230826-110406.679
ord15,aa27,Rose,1,New,300,32.00,NA,20230826-110406.679
ord16,aa28,Rose,1,New,50,1.00,NA,20230826-110406.679
ord17,aa29,Rose,1,New,50,24.00,NA,20230826-110406.679
ord18,aa30,Rose,2,Fill,50,53.00,NA,20230826-110406.680
ord14,aa26,Rose,1,PFill,50,53.00,NA,20230826-110406.680
ord19,aa31,Rose,1,New,50,35.00,NA,20230826-110406.681
ord20,aa32,Rose,2,Fill,50,53.00,NA,20230826-110406.681
ord14,aa26,Rose,1,PFill,50,53.00,NA,20230826-110406.682
ord21,aa33,Rose,2,Fill,50,53.00,NA,20230826-110406.682
ord14,aa26,Rose,1,PFill,50,53.00,NA,20230826-110406.683
