aa01,Tulip,2,230,45
aa02,Tulip,2,340,84
aa03,Lotus,1,180,62
aa04,Lavender,1,330,39
aa05,Tulip,2,400,97
aa06,Orchid,1,110,33
aa07,Lotus,2,60,60
aa08,Rose,2,270,30
aa09,Orchid,2,190,70
aa10,Orchid,1,220,38
aa11,Rose,2,30,77
aa12,Lavender,2,340,94
aa13,Rose,1,500,21
aa14,Lotus,2,310,59
aa15,Orchid,1,260,40
aa16,Lotus,1,440,25
aa17,Rose,1,300,86
aa18,Rose,2,90,49
aa19,Lotus,1,10,74
aa20,Lavender,2,480,21
aa21,Lotus,1,270,90
aa22,Orchid,1,220,98
aa23,Lotus,2,490,85
aa24,Tulip,1,350,100
aa25,Rose,1,130,53
aa26,Tulip,2,480,35
aa27,Rose,1,170,97
aa28,Tulip,1,450,46
aa29,Lotus,2,320,99
aa30,Lavender,1,470,37
aa31,Orchid,2,430,97
aa32,Lotus,2,220,23
aa33,Orchid,2,400,70
aa34,Tulip,1,430,98
aa35,Lavender,1,50,80
aa36,Lotus,1,320,78
aa37,Orchid,2,180,99
aa38,Lotus,2,50,70
aa39,Orchid,1,220,71
aa40,Rose,1,390,50
aa41,Rose,1,210,88
aa42,Rose,1,440,24
aa43,Rose,1,190,26
aa44,Tulip,1,80,79
aa45,Rose,1,440,20
aa46,Rose,1,370,75
aa47,Lavender,2,60,74
aa48,Lotus,2,500,59
aa49,Lavender,1,260,74
aa50,Tulip,2,380,98
aa51,Orchid,1,220,86
aa52,Tulip,2,190,57
aa53,Lotus,1,160,71
aa54,Lavender,2,60,68
aa55,Lotus,2,400,52
aa56,Orchid,1,50,56
aa57,Rose,1,320,24
aa58,Lavender,1,260,69
aa59,Orchid,2,400,24
aa60,Rose,2,390,43
aa61,Tulip,1,80,65
aa62,Lavender,2,150,29
aa63,Orchid,1,240,43
aa64,Orchid,2,150,66
aa65,Tulip,2,380,44
aa66,Rose,1,260,24
aa67,Orchid,1,30,83
aa68,Tulip,1,10,67
aa69,Lotus,2,210,31
aa70,Tulip,1,420,27
aa71,Lotus,1,350,26
aa72,Rose,1,340,68
aa73,Lavender,1,500,88
aa74,Lotus,2,390,88
aa75,Lotus,2,310,100
aa76,Rose,2,250,75
aa77,Rose,2,70,94
aa78,Tulip,2,490,73
aa79,Lotus,2,340,34
aa80,Tulip,2,30,68
aa81,Tulip,1,60,36
aa82,Lotus,2,400,75
aa83,Rose,2,20,50
aa84,Lavender,1,20,39
aa85,Orchid,2,380,73
aa86,Lotus,1,440,40
aa87,Orchid,2,390,39
aa88,Orchid,1,10,52
aa89,Lotus,1,240,26
aa90,Orchid,1,20,79
